SampleID	SSPOOL	specimen_id	Pools
MADH081_ES409_8071120077_A52_S371	SSPOOL15	650452	A52
MADH100_ES299_8071121538_A52_S337	SSPOOL19	650457	A52
MADH081_650490_8071093876_A52_S368	SSPOOL15	650490	A52
MADH078_650498_8071093704_A52_S123	SSPOOL15	650498	A52
MADH039_ES188_8071120814_A52_S295	SSPOOL6	650502	A52
MADH100_ES187_8071120764_A52_S314	SSPOOL19	650506	A52
MADH039_ES187_8071120764_A52_S307	SSPOOL6	650506	A52
MADH052_ES190_8071121531_A52_S35	SSPOOL13	650507	A52
MADH100_ES309_8071121534_A52_S342	SSPOOL19	650508	A52
MADH039_ES309_8071121534_A52_S334	SSPOOL6	650508	A52
MADH051_ES442_8071098360_A52_S238	SSPOOL9	650520	A52
MADH046_ES259_8071088480_A52_S115	SSPOOL8	650521	A52
MADH046_ES259_8071088480_A52_S211	SSPOOL8	650521	A52
MADH051_ES396_8071120482_A52_S282	SSPOOL9	650522	A52
MADH030_ES067_8071088224_A52_S298_L001	SSPOOL4	650523	A52
MADH052_ES414_8071120375_A52_S58	SSPOOL13	650524	A52
MADH052_ES356_8071121066_A52_S49	SSPOOL13	650534	A52
MADH039_ES356_8071121066_A52_S370	SSPOOL6	650534	A52
MADH051_ES431_8071097952_A52_S237	SSPOOL9	650538	A52
MADH039_ES324_8071120951_A52_S299	SSPOOL6	650545	A52
MADH100_ES444_8071098351_A52_S371	SSPOOL19	650546	A52
MADH052_ES423_8071119935_A52_S60	SSPOOL13	650547	A52
MADH051_ES426_8071120141_A52_S213	SSPOOL9	650548	A52
MADH100_ES290_8071121432_A52_S332	SSPOOL19	650552	A52
MADH039_ES290_8071121432_A52_S311	SSPOOL6	650552	A52
MADH039_ES172_8071120763_A52_S365	SSPOOL6	650553	A52
MADH051_ES419_8071120357_A52_S248	SSPOOL9	650563	A52
MADH046_ES280_8071088091_A52_S264	SSPOOL8	650567	A52
MADH046_ES280_8071088091_A52_S168	SSPOOL8	650567	A52
MADH039_ES037_8071088726_A52_S290	SSPOOL6	650571	A52
MADH31_ES181_8071121500_A52_S421_L001_S421_L001	SSPOOL4	650572	A52
MADH052_ES271_8071122319_A52_S45	SSPOOL13	650573	A52
MADH052_ES319_8071120941_A52_S52	SSPOOL13	650574	A52
MADH052_ES227_8071088211_A52_S44	SSPOOL13	650577	A52
MADH081_ES227_8071088211_A52_S383	SSPOOL15	650577	A52
MADH046_ES278_8071088450_A52_S201	SSPOOL8	650590	A52
MADH046_ES239_8071121852_A52_S72	SSPOOL26	650595	A52
MADH046_ES239_8071121852_A52_S101	SSPOOL8	650595	A52
MADH046_ES239_8071121852_A52_S197	SSPOOL8	650595	A52
MADH053_ES462_8071098051_A52_S128	SSPOOL10	650596	A52
MADH053_ES464_8071097556_A52_S132	SSPOOL10	650597	A52
MADH052_ES084_8071088247_A52_S24	SSPOOL13	650598	A52
MADH046_ES238_8071088258_A52_S184	SSPOOL8	650602	A52
MADH046_ES238_8071088258_A52_S280	SSPOOL8	650602	A52
MADH039_ES323_8071121604_A52_S312	SSPOOL6	650604	A52
MADH029_ES080_8071088355_A52_S218_L001	SSPOOL4	650609	A52
MADH113_ES120_8071121585_A52_S75	SSPOOL22	650610	A52
MADH113_ES116_8071121364_A52_S74	SSPOOL22	650613	A52
MADH051_ES447_8071098156_A52_S286	SSPOOL9	650619	A52
MADH113_ES113_8071121556_A52_S72	SSPOOL22	650625	A52
MADH113_ES128_8071121357_A52_S77	SSPOOL22	650626	A52
MADH100_ES334_8071121285_A52_S355	SSPOOL19	650627	A52
MADH113_ES334_8071121285_A52_S92	SSPOOL22	650627	A52
MADH052_ES421_8071120239_A52_S57	SSPOOL13	650628	A52
MADH081_ES421_8071120239_A52_S369	SSPOOL15	650628	A52
MADH046_ES369_8071120228_A52_S190	SSPOOL8	650629	A52
MADH046_ES369_8071120228_A52_S286	SSPOOL8	650629	A52
MADH052_ES070_8071088499_A52_S25	SSPOOL13	650630	A52
MADH081_ES070_8071088499_A52_S379	SSPOOL15	650630	A52
MADH113_ES052_8071088751_A52_S71	SSPOOL22	650635	A52
MADH052_ES262_8071088307_A52_S36	SSPOOL13	650636	A52
MADH103_ES262_8071088307_A52_S305	SSPOOL20	650636	A52
MADH113_ES313_8071121636_A52_S87	SSPOOL22	650637	A52
MADH029_ES087_8071088713_A52_S221_L001	SSPOOL4	650638	A52
MADH029_ES040_8071088538_A52_S214_L001	SSPOOL4	650640	A52
MADH046_ES257_8071088400_A52_S103	SSPOOL8	650641	A52
MADH046_ES257_8071088400_A52_S199	SSPOOL8	650641	A52
MADH100_ES461_8071097729_A52_S377	SSPOOL19	650644	A52
MADH051_ES461_8071097729_A52_S287	SSPOOL9	650644	A52
MADH100_ES450_8071098010_A52_S373	SSPOOL19	650646	A52
MADH051_ES450_8071098010_A52_S227	SSPOOL9	650646	A52
MADH052_ES234_8071088129_A52_S42	SSPOOL13	650648	A52
MADH081_ES234_8071088129_A52_S375	SSPOOL15	650648	A52
MADH113_ES167_8071120780_A52_S81	SSPOOL22	650658	A52
MADH052_ES408_8071119951_A52_S61	SSPOOL13	650679	A52
MADH102_650683_8071094355_A52_S145	SSPOOL20	650683	A52
MADH078_650686_8071093768_A52_S190	SSPOOL15	650686	A52
MADH103_650686_8071094405_A52_S306	SSPOOL20	650686	A52
MADH078_650689_8071093657_A52_S116	SSPOOL15	650689	A52
MADH046_ES225_8071087912_A52_S100	SSPOOL8	650703	A52
MADH046_ES225_8071087912_A52_S196	SSPOOL8	650703	A52
